ART_ID,ART_Name,ART_Genre,ART_Image
126,Elle King,,https://i.scdn.co/image/ab6761610000e5eb98f1e053c254d51c7ebb9831
127,Madilyn Paige,,https://i.scdn.co/image/ab6761610000e5ebe2cff1758f786297af15a870
128,Sarah Dugas,,https://i.scdn.co/image/ab6761610000e5eb32f92b2833047a645b41cdd8
129,Tim McGraw,,https://i.scdn.co/image/ab6761610000e5ebbd6977f3970a7a4a8d4becbe
130,The Weeknd,,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
131,Meek Mill,,https://i.scdn.co/image/ab6761610000e5ebbe6124fae4b13ca120033ddd
132,Subatomic Sound System,,https://i.scdn.co/image/ab6761610000e5ebad7168da818a42cea69e1ec2
133,Travis Scott,,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
134,Judah & the Lion,,https://i.scdn.co/image/ab6761610000e5ebe623db0c897f7c323802b8f0
19,Phil Wickham,,https://i.scdn.co/image/ab6761610000e5eb3c613c49520e672bff7b85f7
135,Brian Byrne,,https://i.scdn.co/image/ab6761610000e5eb71049637319690d307f36a98
136,Ayra Starr,,https://i.scdn.co/image/ab6761610000e5eb8bfd832e0547c4acabe6e67c
137,Burna Boy,,https://i.scdn.co/image/ab6761610000e5ebb4e44d0f4e3e47af2cf06f3f
138,Alana Springsteen,,https://i.scdn.co/image/ab6761610000e5eb5e6cbb090518a920375c940a
139,Vicente Amigo,,https://i.scdn.co/image/38abc1101c820e8f8ffb897db7eb822e3a1f2f04
140,Brooks & Dunn,,https://i.scdn.co/image/ab6761610000e5eb3ef457349ecbd1285b4a0d81
141,Corb Lund,,https://i.scdn.co/image/ab6761610000e5ebc3417e394338c229f8941269
142,Paul-Jordan Jansen,,
143,Arturo Sandoval,,https://i.scdn.co/image/ab67616d0000b2730c75a532326504551dd57e31
144,DJ Logic,,https://i.scdn.co/image/ab6761610000e5eb1df40991ffe38a46fe848c9c
145,Willie Nelson,,https://i.scdn.co/image/ab6772690000c46c8ff3385555930af73293254b
146,Leonardo Bafunno De Bernardini,,
147,Brandi Carlile,,https://i.scdn.co/image/ab6761610000e5eb0d9c8ef7691538cac0b336b3
148,KAZU,,https://i.scdn.co/image/ab6761610000e5ebc76f3016c220a5e60e9269be
